STUDENT GRADE REPORT
====================

John Doe (ID: 1001): Score = 95, Grade = A
Jane Smith (ID: 1002): Score = 87, Grade = A
Michael Johnson (ID: 1003): Score = 78, Grade = B
Emily Williams (ID: 1004): Score = 72, Grade = B
Robert Brown (ID: 1005): Score = 68, Grade = C
Sarah Davis (ID: 1006): Score = 63, Grade = C
Thomas Wilson (ID: 1007): Score = 57, Grade = D
Jessica Taylor (ID: 1008): Score = 52, Grade = D
Daniel Anderson (ID: 1009): Score = 45, Grade = F
Jennifer Martinez (ID: 1010): Score = 32, Grade = F
Christopher Robinson (ID: 1011): Score = 91, Grade = A
Elizabeth Garcia (ID: 1012): Score = 83, Grade = A
Matthew Rodriguez (ID: 1013): Score = 76, Grade = B
Olivia Lee (ID: 1014): Score = 65, Grade = C
David Hall (ID: 1015): Score = 55, Grade = D
Sophia Wright (ID: 1016): Score = 48, Grade = F
James Scott (ID: 1017): Score = 89, Grade = A
Emma Young (ID: 1018): Score = 74, Grade = B
Joseph King (ID: 1019): Score = 62, Grade = C
Abigail Green (ID: 1020): Score = 37, Grade = F
Alex Johnson (ID: 1024): Score = 88, Grade = A
Maria Garcia (ID: 1025): Score = 79, Grade = B

Total Students: 22
Report Generated: 8/16/2025 9:32:57 AM
